NazwaAtrybutu
attr23
attr22
attr17
attr2
attr11
attr6
attr16
attr15
attr20
attr12
attr1
attr7
attr3
attr8
attr0
attr4
attr9
attr10
attr13
attr14
attr5
attr21
attr18
attr19
